,id,title,description,year,overview,genres,desc02,img_link
22325,194188,Punk's Dead: SLC Punk 2,"Punk's Dead, the sequel to 1999 cult hit SLC Punk, is a punk romp through the Utah hinterlands. Ross, Penny and Crash, young outsiders from different tribes, embark on a road trip to a huge punk show. Ross, 19, is the love child of Trish and Heroin Bob, who died before Ross was born. During their odyssey, and with the help of a healthy dose of drugs, alcohol and punk music, Ross shreds his darkly Gothic outlook and embraces life. His mother Trish, who raised Ross alone in her steam punk shop, discovers that he is in a crisis. She recruits his 'uncles,' Bob's old SLC gang, to help find him. When all collide at the concert, they are forced to deal with their unresolved relationships with Bob.A young punk's odyssey.",2016,"Punk's Dead, the sequel to 1999 cult hit SLC Punk, is a punk romp through the Utah hinterlands. Ross, Penny and Crash, young outsiders from different tribes, embark on a road trip to a huge punk show. Ross, 19, is the love child of Trish and Heroin Bob, who died before Ross was born. During their odyssey, and with the help of a healthy dose of drugs, alcohol and punk music, Ross shreds his darkly Gothic outlook and embraces life. His mother Trish, who raised Ross alone in her steam punk shop, discovers that he is in a crisis. She recruits his 'uncles,' Bob's old SLC gang, to help find him. When all collide at the concert, they are forced to deal with their unresolved relationships with Bob.",['Comedy'],punks dead the sequel to  cult hit slc punk is a punk romp through the utah hinterlands ross penny and crash young outsiders from different tribes embark on a road trip to a huge punk show ross  is the love child of trish and heroin bob who died before ross was born during their odyssey and with the help of a healthy dose of drugs alcohol and punk music ross shreds his darkly gothic outlook and embraces life his mother trish who raised ross alone in her steam punk shop discovers that he is in a crisis she recruits his uncles bobs old slc gang to help find him when all collide at the concert they are forced to deal with their unresolved relationships with boba young punks odyssey,https://www.themoviedb.org/movie/194188
26556,271969,Ben-Hur,A falsely accused nobleman survives years of slavery to take vengeance on his best friend who betrayed him.First to finish. Last to die.,2016,A falsely accused nobleman survives years of slavery to take vengeance on his best friend who betrayed him.,"['Adventure', 'Drama', 'Action']",a falsely accused nobleman survives years of slavery to take vengeance on his best friend who betrayed himfirst to finish last to die,https://www.themoviedb.org/movie/271969
26557,68735,Warcraft,"The peaceful realm of Azeroth stands on the brink of war as its civilization faces a fearsome race of invaders: orc warriors fleeing their dying home to colonize another. As a portal opens to connect the two worlds, one army faces destruction and the other faces extinction. From opposing sides, two heroes are set on a collision course that will decide the fate of their family, their people, and their home.Two worlds. One home.",2016,"The peaceful realm of Azeroth stands on the brink of war as its civilization faces a fearsome race of invaders: orc warriors fleeing their dying home to colonize another. As a portal opens to connect the two worlds, one army faces destruction and the other faces extinction. From opposing sides, two heroes are set on a collision course that will decide the fate of their family, their people, and their home.","['Action', 'Adventure', 'Fantasy']",the peaceful realm of azeroth stands on the brink of war as its civilization faces a fearsome race of invaders orc warriors fleeing their dying home to colonize another as a portal opens to connect the two worlds one army faces destruction and the other faces extinction from opposing sides two heroes are set on a collision course that will decide the fate of their family their people and their hometwo worlds one home,https://www.themoviedb.org/movie/68735
26564,293660,Deadpool,"Deadpool tells the origin story of former Special Forces operative turned mercenary Wade Wilson, who after being subjected to a rogue experiment that leaves him with accelerated healing powers, adopts the alter ego Deadpool. Armed with his new abilities and a dark, twisted sense of humor, Deadpool hunts down the man who nearly destroyed his life.Witness the beginning of a happy ending",2016,"Deadpool tells the origin story of former Special Forces operative turned mercenary Wade Wilson, who after being subjected to a rogue experiment that leaves him with accelerated healing powers, adopts the alter ego Deadpool. Armed with his new abilities and a dark, twisted sense of humor, Deadpool hunts down the man who nearly destroyed his life.","['Action', 'Adventure', 'Comedy']",deadpool tells the origin story of former special forces operative turned mercenary wade wilson who after being subjected to a rogue experiment that leaves him with accelerated healing powers adopts the alter ego deadpool armed with his new abilities and a dark twisted sense of humor deadpool hunts down the man who nearly destroyed his lifewitness the beginning of a happy ending,https://www.themoviedb.org/movie/293660
26567,271110,Captain America: Civil War,"Following the events of Age of Ultron, the collective governments of the world pass an act designed to regulate all superhuman activity. This polarizes opinion amongst the Avengers, causing two factions to side with Iron Man or Captain America, which causes an epic battle between former allies.Divided We Fall",2016,"Following the events of Age of Ultron, the collective governments of the world pass an act designed to regulate all superhuman activity. This polarizes opinion amongst the Avengers, causing two factions to side with Iron Man or Captain America, which causes an epic battle between former allies.","['Adventure', 'Action', 'Science Fiction']",following the events of age of ultron the collective governments of the world pass an act designed to regulate all superhuman activity this polarizes opinion amongst the avengers causing two factions to side with iron man or captain america which causes an epic battle between former alliesdivided we fall,https://www.themoviedb.org/movie/271110
26569,246655,X-Men: Apocalypse,"After the re-emergence of the world's first mutant, world-destroyer Apocalypse, the X-Men must unite to defeat his extinction level plan.Only the strong will survive",2016,"After the re-emergence of the world's first mutant, world-destroyer Apocalypse, the X-Men must unite to defeat his extinction level plan.",['Science Fiction'],after the reemergence of the worlds first mutant worlddestroyer apocalypse the xmen must unite to defeat his extinction level planonly the strong will survive,https://www.themoviedb.org/movie/246655
28811,245703,Midnight Special,A father and son go on the run after the dad learns his child possesses special powers.He's not like us.,2016,A father and son go on the run after the dad learns his child possesses special powers.,"['Adventure', 'Drama', 'Science Fiction']",a father and son go on the run after the dad learns his child possesses special powershes not like us,https://www.themoviedb.org/movie/245703
30499,328111,The Secret Life of Pets,"The quiet life of a terrier named Max is upended when his owner takes in Duke, a stray whom Max instantly dislikes.Think this is what they do all day?",2016,"The quiet life of a terrier named Max is upended when his owner takes in Duke, a stray whom Max instantly dislikes.","['Animation', 'Family']",the quiet life of a terrier named max is upended when his owner takes in duke a stray whom max instantly dislikesthink this is what they do all day,https://www.themoviedb.org/movie/328111
30543,297761,Suicide Squad,"From DC Comics comes the Suicide Squad, an antihero team of incarcerated supervillains who act as deniable assets for the United States government, undertaking high-risk black ops missions in exchange for commuted prison sentences.Worst Heroes Ever",2016,"From DC Comics comes the Suicide Squad, an antihero team of incarcerated supervillains who act as deniable assets for the United States government, undertaking high-risk black ops missions in exchange for commuted prison sentences.","['Action', 'Adventure', 'Crime', 'Fantasy', 'Science Fiction']",from dc comics comes the suicide squad an antihero team of incarcerated supervillains who act as deniable assets for the united states government undertaking highrisk black ops missions in exchange for commuted prison sentencesworst heroes ever,https://www.themoviedb.org/movie/297761
30556,47933,Independence Day: Resurgence,"We always knew they were coming back. Using recovered alien technology, the nations of Earth have collaborated on an immense defense program to protect the planet. But nothing can prepare us for the aliens’ advanced and unprecedented force. Only the ingenuity of a few brave men and women can bring our world back from the brink of extinction.We had twenty years to prepare. So did they.",2016,"We always knew they were coming back. Using recovered alien technology, the nations of Earth have collaborated on an immense defense program to protect the planet. But nothing can prepare us for the aliens’ advanced and unprecedented force. Only the ingenuity of a few brave men and women can bring our world back from the brink of extinction.","['Action', 'Adventure', 'Science Fiction']",we always knew they were coming back using recovered alien technology the nations of earth have collaborated on an immense defense program to protect the planet but nothing can prepare us for the aliens’ advanced and unprecedented force only the ingenuity of a few brave men and women can bring our world back from the brink of extinctionwe had twenty years to prepare so did they,https://www.themoviedb.org/movie/47933
30557,188927,Star Trek Beyond,"The USS Enterprise crew explores the furthest reaches of uncharted space, where they encounter a mysterious new enemy who puts them and everything the Federation stands for to the test.",2016,"The USS Enterprise crew explores the furthest reaches of uncharted space, where they encounter a mysterious new enemy who puts them and everything the Federation stands for to the test.","['Action', 'Adventure', 'Science Fiction']",the uss enterprise crew explores the furthest reaches of uncharted space where they encounter a mysterious new enemy who puts them and everything the federation stands for to the test,https://www.themoviedb.org/movie/188927
31072,209112,Batman v Superman: Dawn of Justice,"Fearing the actions of a god-like Super Hero left unchecked, Gotham City’s own formidable, forceful vigilante takes on Metropolis’s most revered, modern-day savior, while the world wrestles with what sort of hero it really needs. And with Batman and Superman at war with one another, a new threat quickly arises, putting mankind in greater danger than it’s ever known before.Justice or revenge",2016,"Fearing the actions of a god-like Super Hero left unchecked, Gotham City’s own formidable, forceful vigilante takes on Metropolis’s most revered, modern-day savior, while the world wrestles with what sort of hero it really needs. And with Batman and Superman at war with one another, a new threat quickly arises, putting mankind in greater danger than it’s ever known before.","['Action', 'Adventure', 'Fantasy']",fearing the actions of a godlike super hero left unchecked gotham city’s own formidable forceful vigilante takes on metropolis’s most revered modernday savior while the world wrestles with what sort of hero it really needs and with batman and superman at war with one another a new threat quickly arises putting mankind in greater danger than it’s ever known beforejustice or revenge,https://www.themoviedb.org/movie/209112
31390,278927,The Jungle Book,"After a threat from the tiger Shere Khan forces him to flee the jungle, a man-cub named Mowgli embarks on a journey of self discovery with the help of panther, Bagheera, and free spirited bear, Baloo.",2016,"After a threat from the tiger Shere Khan forces him to flee the jungle, a man-cub named Mowgli embarks on a journey of self discovery with the help of panther, Bagheera, and free spirited bear, Baloo.","['Family', 'Adventure', 'Drama', 'Fantasy']",after a threat from the tiger shere khan forces him to flee the jungle a mancub named mowgli embarks on a journey of self discovery with the help of panther bagheera and free spirited bear baloo,https://www.themoviedb.org/movie/278927
32182,310131,The Witch,"New England in the 1630s: William and Katherine lead a devout Christian life with five children, homesteading on the edge of an impassable wilderness. When their newborn son vanishes and crops fail, the family turns on one another. Beyond their worst fears, a supernatural evil lurks in the nearby wood.Evil takes many forms.",2016,"New England in the 1630s: William and Katherine lead a devout Christian life with five children, homesteading on the edge of an impassable wilderness. When their newborn son vanishes and crops fail, the family turns on one another. Beyond their worst fears, a supernatural evil lurks in the nearby wood.","['Mystery', 'Horror']",new england in the  william and katherine lead a devout christian life with five children homesteading on the edge of an impassable wilderness when their newborn son vanishes and crops fail the family turns on one another beyond their worst fears a supernatural evil lurks in the nearby woodevil takes many forms,https://www.themoviedb.org/movie/310131
32801,313922,Green Room,A young punk rock band find themselves trapped in a secluded venue after stumbling upon a horrific act of violence.One way in. No way out.,2016,A young punk rock band find themselves trapped in a secluded venue after stumbling upon a horrific act of violence.,"['Horror', 'Crime', 'Thriller']",a young punk rock band find themselves trapped in a secluded venue after stumbling upon a horrific act of violenceone way in no way out,https://www.themoviedb.org/movie/313922
33533,270487,"Hail, Caesar!","Tells the comedic tale of Eddie Mannix, a fixer who worked for the Hollywood studios in the 1950s. The story finds him at work when a star mysteriously disappears in the middle of filming.Lights. Camera. Abduction.",2016,"Tells the comedic tale of Eddie Mannix, a fixer who worked for the Hollywood studios in the 1950s. The story finds him at work when a star mysteriously disappears in the middle of filming.","['Comedy', 'Drama', 'Mystery']",tells the comedic tale of eddie mannix a fixer who worked for the hollywood studios in the  the story finds him at work when a star mysteriously disappears in the middle of filminglights camera abduction,https://www.themoviedb.org/movie/270487
35220,329833,Zoolander 2,Derek and Hansel are modelling again when an opposing company attempts to take them out from the business.Long time no Z,2016,Derek and Hansel are modelling again when an opposing company attempts to take them out from the business.,['Comedy'],derek and hansel are modelling again when an opposing company attempts to take them out from the businesslong time no z,https://www.themoviedb.org/movie/329833
35249,259694,How to Be Single,"New York City is full of lonely hearts seeking the right match, and what Alice, Robin, Lucy, Meg, Tom and David all have in common is the need to learn how to be single in a world filled with ever-evolving definitions of love.Welcome to the party",2016,"New York City is full of lonely hearts seeking the right match, and what Alice, Robin, Lucy, Meg, Tom and David all have in common is the need to learn how to be single in a world filled with ever-evolving definitions of love.","['Comedy', 'Romance']",new york city is full of lonely hearts seeking the right match and what alice robin lucy meg tom and david all have in common is the need to learn how to be single in a world filled with everevolving definitions of lovewelcome to the party,https://www.themoviedb.org/movie/259694
35387,140300,Kung Fu Panda 3,"Continuing his ""legendary adventures of awesomeness"", Po must face two hugely epic, but different threats: one supernatural and the other a little closer to his home.Grab destiny by the rice dumplings.",2016,"Continuing his ""legendary adventures of awesomeness"", Po must face two hugely epic, but different threats: one supernatural and the other a little closer to his home.","['Action', 'Adventure', 'Animation', 'Comedy', 'Family']",continuing his legendary adventures of awesomeness po must face two hugely epic but different threats one supernatural and the other a little closer to his homegrab destiny by the rice dumplings,https://www.themoviedb.org/movie/140300
35474,344041,Standoff,"A troubled veteran gets a chance at redemption by protecting a girl from an assassin after she witnesses a murder. Holding a shotgun with a single shell, he engages in physical and psychological warfare in a desperate fight for the girl's life.A deadly game only one can survive",2016,"A troubled veteran gets a chance at redemption by protecting a girl from an assassin after she witnesses a murder. Holding a shotgun with a single shell, he engages in physical and psychological warfare in a desperate fight for the girl's life.","['Drama', 'Thriller']",a troubled veteran gets a chance at redemption by protecting a girl from an assassin after she witnesses a murder holding a shotgun with a single shell he engages in physical and psychological warfare in a desperate fight for the girls lifea deadly game only one can survive,https://www.themoviedb.org/movie/344041
35581,58431,Pride and Prejudice and Zombies,"A zombie outbreak has fallen upon the land in this reimagining of Jane Austen’s classic tale of the tangled relationships between lovers from different social classes in 19th century England. Feisty heroine Elizabeth Bennet (Lily James) is a master of martial arts and weaponry and the handsome Mr. Darcy (Sam Riley) is a fierce zombie killer, yet the epitome of upper class prejudice. As the zombie outbreak intensifies, they must swallow their pride and join forces on the blood-soaked battlefield in order to conquer the undead once and for all.Bloody lovely.",2016,"A zombie outbreak has fallen upon the land in this reimagining of Jane Austen’s classic tale of the tangled relationships between lovers from different social classes in 19th century England. Feisty heroine Elizabeth Bennet (Lily James) is a master of martial arts and weaponry and the handsome Mr. Darcy (Sam Riley) is a fierce zombie killer, yet the epitome of upper class prejudice. As the zombie outbreak intensifies, they must swallow their pride and join forces on the blood-soaked battlefield in order to conquer the undead once and for all.","['Romance', 'Horror', 'Comedy', 'Thriller']",a zombie outbreak has fallen upon the land in this reimagining of jane austen’s classic tale of the tangled relationships between lovers from different social classes in  century england feisty heroine elizabeth bennet lily james is a master of martial arts and weaponry and the handsome mr darcy sam riley is a fierce zombie killer yet the epitome of upper class prejudice as the zombie outbreak intensifies they must swallow their pride and join forces on the bloodsoaked battlefield in order to conquer the undead once and for allbloody lovely,https://www.themoviedb.org/movie/58431
35972,373355,The Lovers and the Despot,"After the collapse of their glamorous romance, a famous director and actress are kidnapped by movie-obsessed dictator Kim Jong-il. Forced to make films in the world's weirdest state, they get a second chance at love, but only one chance at escape.They were kidnapped by their biggest fan",2016,"After the collapse of their glamorous romance, a famous director and actress are kidnapped by movie-obsessed dictator Kim Jong-il. Forced to make films in the world's weirdest state, they get a second chance at love, but only one chance at escape.",['Documentary'],after the collapse of their glamorous romance a famous director and actress are kidnapped by movieobsessed dictator kim jongil forced to make films in the worlds weirdest state they get a second chance at love but only one chance at escapethey were kidnapped by their biggest fan,https://www.themoviedb.org/movie/373355
36087,321258,The Boy,"A nanny, working for a family whose son has just passed away, finds herself put in charge of caring for a lifelike doll that the couple treat as a real child.Every child needs to feel loved.",2016,"A nanny, working for a family whose son has just passed away, finds herself put in charge of caring for a lifelike doll that the couple treat as a real child.","['Horror', 'Mystery', 'Thriller']",a nanny working for a family whose son has just passed away finds herself put in charge of caring for a lifelike doll that the couple treat as a real childevery child needs to feel loved,https://www.themoviedb.org/movie/321258
